Date,TweetID,User,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
2025-01-12 14:19:14+00:00,1878446643327938785,zxLopy970,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع https://t.co/9p63mHhhYs",0,0,0,0
2025-01-12 14:16:14+00:00,1878445888521035848,dahjesuboy,Lagos mainland ,"My rate 9/10 why there's originality and strong continiuty

I applaud my boss. Welldone @TheDimejiLateef

My notification no gree me. Until I see the movie. This movie just gave me a sight of trust nobody and people will never be satisfied with.
#LisabiALegendIsBorn #Lisabi2",2,1,0,1
2025-01-12 14:13:58+00:00,1878445319110754666,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 10 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:53+00:00,1878445295928815630,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 9 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:47+00:00,1878445270922338651,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 8 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:41+00:00,1878445246452727938,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 7 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:36+00:00,1878445225518985636,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 6 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:29+00:00,1878445195726880825,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 5 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:23+00:00,1878445172809167080,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 4 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:18+00:00,1878445150159900792,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 3 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:11+00:00,1878445123505152068,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 2 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:07+00:00,1878445105889054972,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 1 https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:13:02+00:00,1878445084296774012,yuuuuuuii_i,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع https://t.co/7bmjZ6Km2u",0,0,0,0
2025-01-12 14:12:44+00:00,1878445006584680537,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 10 https://t.co/8C9mD8fHQx",0,0,0,0
